product.sku,product.alapar,product.szorzo,product.tax_class_id,product.gross_price,product.quantity_2,product.instock_status_id
5807_03,17314.9606299,1.5,27,21990,1,1
5807_04,17314.9606299,1.5,27,21990,0,1
5807_05,17314.9606299,1.5,27,21990,0,1
5807_06,17314.9606299,1.5,27,21990,0,1
5807_07,17314.9606299,1.5,27,21990,0,1
5807_08,17314.9606299,1.5,27,21990,0,1
5807_09,17314.9606299,1.5,27,21990,0,1
5807_10,17314.9606299,1.5,27,21990,0,1
5825_01,11803.1496063,1.5,27,14990,0,1
5881_01,4716.53543307,1.5,27,5990,0,1
5969_01,5503.93700787,1.5,27,6990,0,1
5969_02,5503.93700787,1.5,27,6990,1,1
6012_01,1960.62992126,1.5,27,2490,0,1
6022_01,3141.73228346,1.5,27,3990,0,1
6031_01,11803.1496063,1.5,27,14990,0,1
6031_02,11803.1496063,1.5,27,14990,0,1
6058_01,17314.9606299,1.5,27,21990,1,1
6058_02,17314.9606299,1.5,27,21990,0,1
6058_03,17314.9606299,1.5,27,21990,0,1
6058_04,17314.9606299,1.5,27,21990,1,1
6058_05,17314.9606299,1.5,27,21990,2,1
6058_06,17314.9606299,1.5,27,21990,1,1
6058_07,17314.9606299,1.5,27,21990,1,1
6058_08,17314.9606299,1.5,27,21990,0,1
6058_09,17314.9606299,1.5,27,21990,0,1
6058_10,17314.9606299,1.5,27,21990,0,1
6058_11,17314.9606299,1.5,27,21990,0,1
6058_12,17314.9606299,1.5,27,21990,0,1
6058_13,17314.9606299,1.5,27,21990,0,1
6058_14,17314.9606299,1.5,27,21990,1,1
6058_15,17314.9606299,1.5,27,21990,1,1
6058_16,17314.9606299,1.5,27,21990,1,1
6058_17,17314.9606299,1.5,27,21990,0,1
6068_01,16527.5590551,1.5,27,20990,0,1
6068_02,16527.5590551,1.5,27,20990,0,1
6068_03,16527.5590551,1.5,27,20990,0,1
6068_04,16527.5590551,1.5,27,20990,0,1
6068_05,16527.5590551,1.5,27,20990,0,1
6068_06,16527.5590551,1.5,27,20990,0,1
6068_07,16527.5590551,1.5,27,20990,0,1
6068_08,16527.5590551,1.5,27,20990,0,1
6068_09,16527.5590551,1.5,27,20990,0,1
6068_10,16527.5590551,1.5,27,20990,0,1
6068_11,16527.5590551,1.5,27,20990,0,1
6068_12,16527.5590551,1.5,27,20990,0,1
6068_13,16527.5590551,1.5,27,20990,0,1
6068_14,16527.5590551,1.5,27,20990,0,1
6068_15,16527.5590551,1.5,27,20990,0,1
6068_16,16527.5590551,1.5,27,20990,0,1
6068_17,16527.5590551,1.5,27,20990,0,1
6076_01,6291.33858268,1.5,27,7990,0,1
6172_01,16527.5590551,1.5,27,20990,1,1
6174_01,17314.9606299,1.5,27,21990,0,1
6174_02,17314.9606299,1.5,27,21990,0,1
6174_03,17314.9606299,1.5,27,21990,1,1
6174_04,17314.9606299,1.5,27,21990,0,1
6174_05,17314.9606299,1.5,27,21990,0,1
6174_06,17314.9606299,1.5,27,21990,0,1
6174_07,17314.9606299,1.5,27,21990,0,1
6174_08,17314.9606299,1.5,27,21990,0,1
6174_09,17314.9606299,1.5,27,21990,0,1
6174_10,17314.9606299,1.5,27,21990,0,1
6174_11,17314.9606299,1.5,27,21990,0,1
6174_12,17314.9606299,1.5,27,21990,0,1
6174_13,17314.9606299,1.5,27,21990,0,1
