identifier,manufacturer,name,category,product_url,image_url,price,net_price,description,delivery_cost,delivery_time	
"7124", "Vans", "Atwood - (2-Tone) Black/Gum", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/atwood/7124", "https://coreshop.hu/pictures/termekek/7/1/2/4/1_large.jpg", "16990", "13378", "", "ingyenes", "1 munkanap" 
"7123", "Vans", "Atwood - (2-Tone) Blue/Gum", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/atwood/7123", "https://coreshop.hu/pictures/termekek/7/1/2/3/1_large.jpg", "16990", "13378", "", "ingyenes", "1 munkanap" 
"7122", "Vans", "Atwood - (2-Tone) Burgundy/Gum", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/atwood/7122", "https://coreshop.hu/pictures/termekek/7/1/2/2/1_large.jpg", "16990", "13378", "", "ingyenes", "1 munkanap" 
"7074", "Vans", "Thrasher Slip-On Pro - (Thrasher) Black", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/thrasher-slip-on-pro/7074", "https://coreshop.hu/pictures/termekek/7/0/7/4/1_large.jpg", "19990", "15740", "", "ingyenes", "1 munkanap" 
"7073", "Vans", "Thrasher SK8-Hi Pro - (Thrasher) Black", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/thrasher-sk8-hi-pro/7073", "https://coreshop.hu/pictures/termekek/7/0/7/3/1_large.jpg", "22990", "18102", "Az ikonikus Thrasher logóval ellátott SK8-Hi a Thrasher Magazine gördeszkázás területén elért megkérdőjelezhetetlen öröksége előtt tiszteleg. Felsőrész anyaga: strapabíró vászon.", "ingyenes", "1 munkanap" 
"7041", "Vans", "Atwood - (Textile) Black/Hawaiian Ocean", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/atwood/7041", "https://coreshop.hu/pictures/termekek/7/0/4/1/1_large.jpg", "16990", "13378", "Az Atwood a Vans örökség legsikeresebb stílusát követi, tartós és kényelmes, ellenáll a legdurvább igénybevételnek is.", "ingyenes", "1 munkanap" 
"7039", "Vans", "ISO 1.5 - (Pop) Delft", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/iso-1.5/7039", "https://coreshop.hu/pictures/termekek/7/0/3/9/1_large.jpg", "17990", "14165", "", "ingyenes", "1 munkanap" 
"7038", "Vans", "ISO 1.5 - (Pop) Racing Red", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/iso-1.5/7038", "https://coreshop.hu/pictures/termekek/7/0/3/8/1_large.jpg", "17990", "14165", "", "ingyenes", "1 munkanap" 
"7037", "Vans", "Old Skool Lite - (Suede/Canvas)  Pewter", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/old-skool-lite/7037", "https://coreshop.hu/pictures/termekek/7/0/3/7/1_large.jpg", "20990", "16528", "Az Old Skool Lite a klasszikus Old Skool újragondolt változata. Modern tervezési elvek segítségével fejlesztették ki az új szabást, növelték a kényelemérzetet, miközben lényegesen sikerült csökkenteni a cipő súlyát is. A megszokott és szeretett külső változatlan, de egész más érzés viselni, köszönhetően az ActionFit sarokrésznek  és az  UltraCush Lite talpnak. (bőr és textil felsőrész)", "ingyenes", "1 munkanap" 
"7035", "Vans", "Atwood - (F17 C&L) Black/White", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/atwood/7035", "https://coreshop.hu/pictures/termekek/7/0/3/5/1_large.jpg", "17990", "14165", "Az Atwood a Vans örökség legsikeresebb stílusát követi, tartós és kényelmes, ellenáll a legdurvább igénybevételnek is.", "ingyenes", "1 munkanap" 
"7034", "Vans", "Atwood - (F17 C&L) Burgundy/White", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/atwood/7034", "https://coreshop.hu/pictures/termekek/7/0/3/4/1_large.jpg", "17990", "14165", "Az Atwood a Vans örökség legsikeresebb stílusát követi, tartós és kényelmes, ellenáll a legdurvább igénybevételnek is.", "ingyenes", "1 munkanap" 
"6957", "Vans", "AV RapidWeld Pro Lite - Port Royale", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/av-rapidweld-pro-lite/6957", "https://coreshop.hu/pictures/termekek/6/9/5/7/1_large.jpg", "24990", "19677", "", "ingyenes", "1 munkanap" 
"6956", "Vans", "AV RapidWeld Pro - White/Gum", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/av-rapidweld-pro/6956", "https://coreshop.hu/pictures/termekek/6/9/5/6/1_large.jpg", "18990", "14953", "", "ingyenes", "1 munkanap" 
"6951", "Vans", "Authentic Lite - (Canvas) Black/White", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/authentic-lite/6951", "https://coreshop.hu/pictures/termekek/6/9/5/1/1_large.jpg", "17990", "14165", "", "ingyenes", "1 munkanap" 
"6950", "Vans", "Era 59 - (Neon Leather) Dress Blues/Neon Red", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/era-59/6950", "https://coreshop.hu/pictures/termekek/6/9/5/0/1_large.jpg", "12990", "10228", "", "ingyenes", "1 munkanap" 
"6949", "Vans", "Era 59 - (Neon Leather) Black/Neon Yellow", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/era-59/6949", "https://coreshop.hu/pictures/termekek/6/9/4/9/1_large.jpg", "12990", "10228", "", "ingyenes", "1 munkanap" 
"6866", "Vans", "Gilbert Crockett 2 Pro - Antique/Navy", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/gilbert-crockett-2-pro/6866", "https://coreshop.hu/pictures/termekek/6/8/6/6/1_large.jpg", "20990", "16528", "", "ingyenes", "1 munkanap" 
"6865", "Vans", "Chapman Lite - (Mesh) Light Gray/White", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/chapman-lite/6865", "https://coreshop.hu/pictures/termekek/6/8/6/5/1_large.jpg", "12990", "10228", "", "ingyenes", "1 munkanap" 
"6864", "Vans", "Chapman Lite - (Mesh) Imperial Blue", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/chapman-lite/6864", "https://coreshop.hu/pictures/termekek/6/8/6/4/1_large.jpg", "12990", "10228", "", "ingyenes", "1 munkanap" 
"6863", "Vans", "Winston - (C&L) Chili Pepper", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/winston/6863", "https://coreshop.hu/pictures/termekek/6/8/6/3/1_large.jpg", "13990", "11016", "", "ingyenes", "1 munkanap" 
"6862", "Vans", "Winston - (C&L) Dark Slate", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/winston/6862", "https://coreshop.hu/pictures/termekek/6/8/6/2/1_large.jpg", "13990", "11016", "", "ingyenes", "1 munkanap" 
"6860", "Vans", "Chapman Stripe - (Suede Canvas) Black/White", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/chapman-stripe/6860", "https://coreshop.hu/pictures/termekek/6/8/6/0/1_large.jpg", "17990", "14165", "", "ingyenes", "1 munkanap" 
"6852", "Vans", "Old Skool - French Blue/True White", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/old-skool/6852", "https://coreshop.hu/pictures/termekek/6/8/5/2/1_large.jpg", "17990", "14165", "Az Old Skool-on jelent meg először a klasszikus oldalcsík, amely mára már a Vans cipők védjegyévé vált. Esztétikus megjelenése mellett nagyfokú tartósság jellemzi az Old Skool-t, amit már évtizedek óta gördeszkások generációi koptatnak. Legyél Te is boldog Old Skool tulajdonos! Felsőrész anyaga: orr és sarok rész velúr bőr, oldalsó panel textil", "ingyenes", "1 munkanap" 
"6851", "Vans", "Old Skool - Drizzle/Sangria", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/old-skool/6851", "https://coreshop.hu/pictures/termekek/6/8/5/1/1_large.jpg", "17990", "14165", "Az Old Skool-on jelent meg először a klasszikus oldalcsík, amely mára már a Vans cipők védjegyévé vált. Esztétikus megjelenése mellett nagyfokú tartósság jellemzi az Old Skool-t, amit már évtizedek óta gördeszkások generációi koptatnak. Legyél Te is boldog Old Skool tulajdonos! Felsőrész anyaga: orr és sarok rész velúr bőr, oldalsó panel textil", "ingyenes", "1 munkanap" 
"6801", "Vans", "ISO 1.5 - (Mesh) French Blue", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/iso-1.5/6801", "https://coreshop.hu/pictures/termekek/6/8/0/1/1_large.jpg", "13990", "11016", "Az Iso 1.5 felsőrésze az ActionFit™ technológia köré épül, a felhasznált anyagok pedig a minimalizmus jegyében kerültek kiválasztásra, így jön létre egy extrém könnyű, egyben hajlékony felsőrész, maximális komfortérzetet nyújtva. Az egész egy UltraCush™ Lite talpon csücsül, így egész nap örülhetünk pillekönnyű és kényelmes cipőnknek.", "ingyenes", "1 munkanap" 
"6798", "Vans", "Old Skool - (Canvas) Dark Slate/True White", "Divat és ruházat > Férfi lábbeli > Férfi cipő", "https://coreshop.hu/hu/termek/old-skool/6798", "https://coreshop.hu/pictures/termekek/6/7/9/8/1_large.jpg", "17990", "14165", "Az Old Skool-on jelent meg először a klasszikus oldalcsík, amely mára már a Vans cipők védjegyévé vált. Esztétikus megjelenése mellett nagyfokú tartósság jellemzi az Old Skool-t, amit már évtizedek óta gördeszkások generációi koptatnak.", "ingyenes", "1 munkanap" 
