Cikksz�m|Term�kn�v|Term�kle�r�s|Brutt��r|Fot�link|Term�klink|Sz�ll�t�siId�|Sz�ll�t�siK�lts�g
6168|Vans Old Skool|Az Old Skool-on jelent meg először a klasszikus oldalcsík, amely mára már a Vans cipők védjegyévé vált. Esztétikus megjelenése mellett nagyfokú tartósság jellemzi az Old Skool-t, amit már évtizedek óta gördeszkások generációi koptatnak.|19990|http://www.coreshop.hu/pictures/termekek/6/1/6/8/1_small.jpg|http://www.coreshop.hu/hu/termek/old_skool/6168|1 munkanap|Ingyenes
6162|Vans ISO 1.5|Az Iso 1.5 felsőrésze az ActionFit™ technológia köré épül, a felhasznált anyagok pedig a minimalizmus jegyében kerültek kiválasztásra, így jön létre egy extrém könnyű, egyben hajlékony felsőrész, maximális komfortérzetet nyújtva. Az egész egy UltraCush™ Lite talpon csücsül, így egész nap örülhetünk pillekönnyű és kényelmes cipőnknek.|20990|http://www.coreshop.hu/pictures/termekek/6/1/6/2/1_small.jpg|http://www.coreshop.hu/hu/termek/iso_1.5/6162|1 munkanap|Ingyenes
6161|Vans ISO 1.5|Az Iso 1.5 felsőrésze az ActionFit™ technológia köré épül, a felhasznált anyagok pedig a minimalizmus jegyében kerültek kiválasztásra, így jön létre egy extrém könnyű, egyben hajlékony felsőrész, maximális komfortérzetet nyújtva. Az egész egy UltraCush™ Lite talpon csücsül, így egész nap örülhetünk pillekönnyű és kényelmes cipőnknek.|21990|http://www.coreshop.hu/pictures/termekek/6/1/6/1/1_small.jpg|http://www.coreshop.hu/hu/termek/iso_1.5/6161|1 munkanap|Ingyenes
6160|Vans Atwood|Az Atwood a Vans örökség legsikeresebb stílusát követi, tartós és kényelmes, ellenáll a legdurvább igénybevételnek is.|15990|http://www.coreshop.hu/pictures/termekek/6/1/6/0/1_small.jpg|http://www.coreshop.hu/hu/termek/atwood/6160|1 munkanap|Ingyenes
6159|Vans Atwood|Az Atwood a Vans örökség legsikeresebb stílusát követi, tartós és kényelmes, ellenáll a legdurvább igénybevételnek is.|15990|http://www.coreshop.hu/pictures/termekek/6/1/5/9/1_small.jpg|http://www.coreshop.hu/hu/termek/atwood/6159|1 munkanap|Ingyenes
6158|Vans Atwood|Az Atwood a Vans örökség legsikeresebb stílusát követi, tartós és kényelmes, ellenáll a legdurvább igénybevételnek is.|15990|http://www.coreshop.hu/pictures/termekek/6/1/5/8/1_small.jpg|http://www.coreshop.hu/hu/termek/atwood/6158|1 munkanap|Ingyenes
6157|Vans Half Cab|Beadod már a Fakie 360 Ollie-t? Megy olyan jól mint a trükk kitalálójának Steve Caballeronak? Ha nem, akkor sincs baj, mert még mindig nézhetsz ki olyan jól a deszkán mint ő, ha felhúzod Stevie cipőjét, a Half Cab-et|21990|http://www.coreshop.hu/pictures/termekek/6/1/5/7/1_small.jpg|http://www.coreshop.hu/hu/termek/half_cab/6157|1 munkanap|Ingyenes
6156|Vans Sk8-Hi Reissue|A The Late Night Sk8-Hi Reissue a legendás Vans-magasszárú legújabb reinkarnációja egy kis vintage beütéssel; strapabíró festett vászon felsőrész némi bőrrel megspékelve, a kopásállóság érdekében megerősített orr-rész, jellegzetes ostya-mintázatú járótalp és a párnázás, hogy a cipő stabil és kényelmes lehessen.|21990|http://www.coreshop.hu/pictures/termekek/6/1/5/6/1_small.jpg|http://www.coreshop.hu/hu/termek/sk8-hi_reissue/6156|1 munkanap|Ingyenes
6126|Vans Authentic||17990|http://www.coreshop.hu/pictures/termekek/6/1/2/6/1_small.jpg|http://www.coreshop.hu/hu/termek/authentic/6126|1 munkanap|Ingyenes
6087|Vans ISO 1.5|Az Iso 1.5 felsőrésze az ActionFit™ technológia köré épül, a felhasznált anyagok pedig a minimalizmus jegyében kerültek kiválasztásra, így jön létre egy extrém könnyű, egyben hajlékony felsőrész, maximális komfortérzetet nyújtva. Az egész egy UltraCush™ Lite talpon csücsül, így egész nap örülhetünk pillekönnyű és kényelmes cipőnknek.|21990|http://www.coreshop.hu/pictures/termekek/6/0/8/7/1_small.jpg|http://www.coreshop.hu/hu/termek/iso_1.5/6087|1 munkanap|Ingyenes
6086|Vans Old Skool|Az Old Skool-on jelent meg először a klasszikus oldalcsík, amely mára már a Vans cipők védjegyévé vált. Esztétikus megjelenése mellett nagyfokú tartósság jellemzi az Old Skool-t, amit már évtizedek óta gördeszkások generációi koptatnak.|20990|http://www.coreshop.hu/pictures/termekek/6/0/8/6/1_small.jpg|http://www.coreshop.hu/hu/termek/old_skool/6086|1 munkanap|Ingyenes
6085|Vans Sk8-Hi|Sk8-Hi Reissue jellemzői a strapabíró bőr felsőrész, a kopásnak ellenálló megerősített orr, a Vans Waffle járótalp, a párnázott nyelv és sarok. |21990|http://www.coreshop.hu/pictures/termekek/6/0/8/5/1_small.jpg|http://www.coreshop.hu/hu/termek/sk8-hi/6085|1 munkanap|Ingyenes
6084|Vans Atwood|Az Atwood a Vans örökség legsikeresebb stílusát követi, tartós és kényelmes, ellenáll a legdurvább igénybevételnek is.|15990|http://www.coreshop.hu/pictures/termekek/6/0/8/4/1_small.jpg|http://www.coreshop.hu/hu/termek/atwood/6084|1 munkanap|Ingyenes
6083|Vans Atwood Deluxe|Az Atwood a Vans örökség legsikeresebb stílusát követi, tartós és kényelmes, ellenáll a legdurvább igénybevételnek is.|17990|http://www.coreshop.hu/pictures/termekek/6/0/8/3/1_small.jpg|http://www.coreshop.hu/hu/termek/atwood_deluxe/6083|1 munkanap|Ingyenes
6072|Vans Atwood Deluxe|Az Atwood a Vans örökség legsikeresebb stílusát követi, tartós és kényelmes, ellenáll a legdurvább igénybevételnek is.|17990|http://www.coreshop.hu/pictures/termekek/6/0/7/2/1_small.jpg|http://www.coreshop.hu/hu/termek/atwood_deluxe/6072|1 munkanap|Ingyenes
6069|Vans Chima Ferguson|Chima Ferguson legújabb cipője textil felső résszel érkezik. Az UltraCush Lite betét anatómiailag formázott párnázása biztosítja a természetes érzést, a Vans egyedi Waffle (ostya) járótalp pedig a jobb tapadásról gondoskodik. A felső rész komoly igénybevételnek kitett területei Duracap megerősítést kaptak, a Pro Lite felépítés pedig segít, hogy jobban érezzük lábunk alatt a lapot deszkázáskor. A hab a tortán egy pár extra fűző.|19990|http://www.coreshop.hu/pictures/termekek/6/0/6/9/1_small.jpg|http://www.coreshop.hu/hu/termek/chima_ferguson/6069|1 munkanap|Ingyenes
6068|Vans Old Skool Lite|Az Old Skool Lite a klasszikus Old Skool újragondolt változata. Modern tervezési elvek segítségével fejlesztették ki az új szabást, növelték a kényelemérzetet, miközben lényegesen sikerült csökkenteni a cipő súlyát is. A megszokott és szeretett külső változatlan, de egész más érzés viselni, köszönhetően az ActionFit sarokrésznek  és az  UltraCush Lite talpnak. (bőr és textil felsőrész)|19990|http://www.coreshop.hu/pictures/termekek/6/0/6/8/1_small.jpg|http://www.coreshop.hu/hu/termek/old_skool_lite/6068|1 munkanap|Ingyenes
6067|Vans Old Skool Lite|Az Old Skool Lite a klasszikus Old Skool újragondolt változata. Modern tervezési elvek segítségével fejlesztették ki az új szabást, növelték a kényelemérzetet, miközben lényegesen sikerült csökkenteni a cipő súlyát is. A megszokott és szeretett külső változatlan, de egész más érzés viselni, köszönhetően az ActionFit sarokrésznek  és az  UltraCush Lite talpnak. (bőr és textil felsőrész)|19990|http://www.coreshop.hu/pictures/termekek/6/0/6/7/1_small.jpg|http://www.coreshop.hu/hu/termek/old_skool_lite/6067|1 munkanap|Ingyenes
6066|Vans Atwood|Az Atwood a Vans örökség legsikeresebb stílusát követi, tartós és kényelmes, ellenáll a legdurvább igénybevételnek is.|15990|http://www.coreshop.hu/pictures/termekek/6/0/6/6/1_small.jpg|http://www.coreshop.hu/hu/termek/atwood/6066|1 munkanap|Ingyenes
6065|Vans Atwood|Az Atwood a Vans örökség legsikeresebb stílusát követi, tartós és kényelmes, ellenáll a legdurvább igénybevételnek is.|15990|http://www.coreshop.hu/pictures/termekek/6/0/6/5/1_small.jpg|http://www.coreshop.hu/hu/termek/atwood/6065|1 munkanap|Ingyenes
6064|Vans Authentic||17990|http://www.coreshop.hu/pictures/termekek/6/0/6/4/1_small.jpg|http://www.coreshop.hu/hu/termek/authentic/6064|1 munkanap|Ingyenes
6063|Vans Authentic||17990|http://www.coreshop.hu/pictures/termekek/6/0/6/3/1_small.jpg|http://www.coreshop.hu/hu/termek/authentic/6063|1 munkanap|Ingyenes
6062|Vans Atwood Low|Az Atwood Low egy nosztalgikus külsejű alacsonyszárú cipő, duplán varrott, tartós vászon felsőrésszel, fém bújtatókkal, Vans-tipikus gumi Waffle-járótalppal és vulkanizált felépítéssel; az eredmény egy kényelmes cipő.|15990|http://www.coreshop.hu/pictures/termekek/6/0/6/2/1_small.jpg|http://www.coreshop.hu/hu/termek/atwood_low/6062|1 munkanap|Ingyenes
6058|Vans ISO 1.5|Az Iso 1.5 felsőrésze az ActionFit™ technológia köré épül, a felhasznált anyagok pedig a minimalizmus jegyében kerültek kiválasztásra, így jön létre egy extrém könnyű, egyben hajlékony felsőrész, maximális komfortérzetet nyújtva. Az egész egy UltraCush™ Lite talpon csücsül, így egész nap örülhetünk pillekönnyű és kényelmes cipőnknek.|20990|http://www.coreshop.hu/pictures/termekek/6/0/5/8/1_small.jpg|http://www.coreshop.hu/hu/termek/iso_1.5/6058|1 munkanap|Ingyenes
6057|Vans ISO 1.5|Az Iso 1.5 felsőrésze az ActionFit™ technológia köré épül, a felhasznált anyagok pedig a minimalizmus jegyében kerültek kiválasztásra, így jön létre egy extrém könnyű, egyben hajlékony felsőrész, maximális komfortérzetet nyújtva. Az egész egy UltraCush™ Lite talpon csücsül, így egész nap örülhetünk pillekönnyű és kényelmes cipőnknek.
|21990|http://www.coreshop.hu/pictures/termekek/6/0/5/7/1_small.jpg|http://www.coreshop.hu/hu/termek/iso_1.5/6057|1 munkanap|Ingyenes
